Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI Cyborg Gaming 15 AI A1VFK – Ultra 7,"රු499,000.00",16GB,14,Ultra 7,SSD,1TB
Lenovo IdeaPad Slim 3 16IRU9 – Core 7,"රු289,000.00",16GB,14,i7,SSD,512GB
Asus ROG Strix SCAR 16 (As G634JZR 131) – i9,"රු1,539,000.00",32GB,14,i9,SSD,1TB
Asus ROG Strix G16 (As G614JIR 126) – i9,"රු969,000.00",16GB,14,i9,SSD,1TB
Asus Zenbook S13 UX5304VA – Ultra 7,"රු640,000.00",16GB,14,Ultra 7,SSD,1TB
HP Victus 15 fa1249TX Gaming – i5,"රු310,000.00",8GB,13,i5,SSD,512GB
HP Victus 15 fa1251TX Gaming – i7,"රු441,500.00",8GB,13,i7,SSD,512GB
HP Victus 15 fa1250TX Gaming – i5,"රු310,000.00",8GB,13,i5,SSD,512GB
HP Victus 15 fa1248TX Gaming – i5,"රු375,000.00",16GB,13,i5,SSD,512GB
HP Victus 15 fa1247TX Gaming – i5,"රු330,000.00",8GB,13,i5,SSD,512GB
Lenovo IdeaPad Gaming 3 15ACH6 – Ryzen 5,"රු238,000.00",8GB,5,Ryzen 5,SSD,512GB
Lenovo Yoga Book 9 13IRU8 – i7,"රු850,000.00",16GB,13,i7,SSD,1TB
HP ProBook 450 G10 – i7,"රු335,000.00",8GB,13,i7,SSD,512GB
MSI Modern 15 B12M – i5,"රු284,000.00",8GB,12,i5,SSD,512GB
MSI Thin GF63 12UCX Gaming – i5,"රු255,000.00",16GB,12,i5,SSD,512GB
HP 15-fd0211TU – i7,"රු325,000.00",8GB,13,i7,SSD,512GB
Asus Zenbook 14 Flip UP3404VA – i5,"රු370,000.00",8GB,13,i5,SSD,512GB
Lenovo IdeaPad 3 15ITL6 – i7,"රු199,000.00",8GB,11,i7,SSD,512GB
Dell Inspiron 5620 – i5,"රු269,000.00",8GB,12,i5,SSD,256GB
HP ProBook 450 G9 – i7,"රු340,000.00",8GB,12,i7,SSD,512GB
HP ProBook 450 G10 – i5,"රු280,000.00",8GB,13,i5,SSD,512GB
HP ProBook 440 G10 – i5,"රු280,000.00",8GB,13,i5,SSD,512GB
MSI Katana GF76 11UC – i5,"රු406,000.00",16GB,11,i5,SSD,512GB
Lenovo IdeaPad 5 15ABA7 – Ryzen 7,"රු299,000.00",16GB,5,Ryzen 7,SSD,512GB
Acer Aspire 3 A315 Notebook – Ryzen 5,"රු189,000.00",8GB,3,Ryzen 5,SSD,512GB
HP ProBook 440 G8 Notebook – i7,"රු355,000.00",8GB,11,i7,SSD,512GB
Lenovo IdeaPad 5 15ABA7 – Ryzen 5,"රු279,000.00",16GB,5,Ryzen 5,SSD,512GB
Lenovo IdeaPad Slim 5 15ALC05 – Ryzen 5,"රු269,000.00",16GB,5,Ryzen 5,SSD,512GB
Dell 5525 G15 Gaming – Ryzen 5,"රු425,000.00",8GB,6,Ryzen 5,SSD,512GB
HP EliteBook 640 G9 Notebook – i5,"රු455,000.00",8GB,12,i5,SSD,512GB
HP ProBook 450 G8 – i5,"රු320,000.00",8GB,11,i5,SSD,512GB
Dell Latitude 7430 – i5,"රු520,000.00",8GB,12,i5,SSD,512GB
Dell Inspiron 3511 (i5 with Iris-Xe Graphics),"රු279,000.00",8GB,11,i5,SSD,512GB
MSI Cyborg 15 A12VF Gaming – i7,"රු399,000.00",8GB,12,i7,SSD,512GB
Asus ExpertBook B1502CB – i5 (16GB RAM),"රු172,000.00",16GB,12,i5,SSD,512GB
Asus ExpertBook B1502CB – i5 (8GB RAM),"රු165,000.00",8GB,12,i5,SSD,512GB
HP 15 fd0203TU – i3,"රු179,000.00",8GB,13,i3,SSD,512GB
MSI GF63 Thin 11UC – i5,"රු295,000.00",8GB,11,i5,SSD,512GB
Asus ROG Strix 15 G513 – Ryzen 7,"රු425,000.00",16GB,6,Ryzen 7,SSD,512GB
HP 14 ep0162TU – i5,"රු195,000.00",8GB,13,i5,SSD,512GB
Lenovo Ideapad Slim 3 15ABR8 – Ryzen 7,"රු229,000.00",16GB,7,Ryzen 7,SSD,512GB
HP EliteBook 640 G9 Notebook – i5,"රු255,000.00",8GB,12,i5,SSD,512GB
Lenovo IdeaPad Flex 5 14ABR8 – Ryzen 5,"රු269,000.00",16GB,7,Ryzen 5,SSD,512GB
Lenovo IdeaPad Flex 5 14ABR8 – Ryzen 7,"රු299,000.00",16GB,7,Ryzen 7,SSD,512GB
Lenovo Legion Pro 5 16ARX8 – Ryzen 7,"රු643,000.00",16GB,7,Ryzen 7,SSD,1TB
Asus Zenbook S13 UX5304VA – i7,"රු499,000.00",16GB,13,i7,SSD,512GB
Lenovo Yoga Slim 7 ProX 14ARH7 – Ryzen 7,"රු399,000.00",16GB,6,Ryzen 7,SSD,512GB
Lenovo IdeaPad 3 15GL05 – Intel Celeron,"රු110,000.00",4GB,2,Celeron,SSD,256GB
Dell Inspiron 3525 – Ryzen 7,"රු219,000.00",8GB,5,Ryzen 7,SSD,512GB
Asus Vivobook 15 X513EA – i3,"රු215,000.00",4GB,11,i3,SSD,512GB
Asus VivoBook M513UA – Ryzen 7,"රු299,000.00",8GB,5,Ryzen 7,SSD,512GB
ASUS VivoBook M513UA – Ryzen 5,"රු280,000.00",8GB,5,Ryzen 5,SSD,512GB
Lenovo IdeaPad Slim 3 14ALC6 – Ryzen 7,"රු294,000.00",8GB,5,Ryzen 7,SSD,512GB
Dell Inspiron 3530 – i5,"රු238,000.00",8GB,13,i5,SSD,512GB
Dell Inspiron 3530 – i7,"රු279,000.00",8GB,13,i7,SSD,512GB
MSI Cyborg 15 A12UCX Gaming – i7,"රු285,000.00",16GB,12,i7,SSD,512GB
Lenovo IdeaPad Slim 3 15ALC6 – Ryzen 5,"රු245,000.00",8GB,5,Ryzen 5,SSD,512GB
Asus ROG Zephyrus GU603VV Gaming – i7,"රු490,000.00",16GB,13,i7,SSD,512GB
Asus Vivobook 16 X1605VA – i5,"රු189,500.00",8GB,13,i5,SSD,512GB
Lenovo IdeaPad 5 Pro 16ARH7 – Ryzen 5,"රු375,000.00",16GB,6,Ryzen 5,SSD,512GB
Dell Inspiron 5420 – i7,"රු379,000.00",8GB,12,i7,SSD,512GB
Dell Inspiron 5420 – i5,"රු335,000.00",8GB,12,i5,SSD,512GB
HP ProBook 440 G9 – i5,"රු250,000.00",8GB,12,i5,SSD,512GB
HP 15s eq3619au – Ryzen 5,"රු195,000.00",8GB,5,Ryzen 5,SSD,512GB
HP 15 Fd0105TU – i5,"රු229,000.00",8GB,13,i5,SSD,512GB
Asus Creator Gaming Q540VJ – i9,"රු375,000.00",16GB,13,i9,SSD,1TB
Lenovo IdeaPad Gaming 3 15ACH6 – Ryzen 5,"රු499,000.00",16GB,5,Ryzen 5,SSD,512GB
HP ProBook 450 G9 – i5,"රු280,000.00",8GB,12,i5,SSD,512GB
HP 15 fd0204TU – i5,"රු195,000.00",8GB,13,i5,SSD,512GB
Lenovo Ideapad Slim 5 Pro 16ACH6 – Ryzen 5,"රු339,000.00",16GB,5,Ryzen 5,SSD,512GB
Lenovo Ideapad Slim 5 Pro – 16ACH6 Ryzen 7,"රු439,000.00",16GB,5,Ryzen 7,SSD,512GB
Lenovo IdeaPad 5 Pro 14ACN6 – Ryzen 5,"රු329,000.00",16GB,5,Ryzen 5,SSD,512GB
Asus TUF Gaming F15 FX506HF – i5,"රු249,000.00",16GB,11,i5,SSD,512GB
Asus ExpertBook B9450FA – i5,"රු250,000.00",8GB,10,i5,SSD,512GB
