Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI GF63 THIN 11UC I5 -11400H|8GB|512GB|RTX3050,"Rs. 279,000.00",8GB,11,i5,SSD,512GB
ASUS Creator Q530 i7-13620H|16GB|512GB|RTX3050|15.6 OLED,"Rs. 359,000.00",16GB,13,i7,SSD,512GB
ASUS VivoBook 15 X1504ZA i7-1255U|8GB|1TB|DOS,"Rs. 239,000.00",8GB,12,i7,SSD,1TB
HP 250 G10 i3-1315U|8GB|512GB|DOS,"Rs. 148,000.00",8GB,13,i3,SSD,512GB
Lenovo IdeaPad Slim 3 15IRU8 i3-1305U|8GB|256GB|15.6 FHD,"Rs. 132,800.00",8GB,13,i3,SSD,256GB
MSI Thin 15 B13UC i5-13420H|8GB|512GB|RTX3050|144hz,"Rs. 308,500.00",8GB,13,i5,SSD,512GB
Lenovo LOQ 15IRH8 i5-12450H|16GB|512GB|RTX2050|Win 11,"Rs. 299,000.00",16GB,12,i5,SSD,512GB
ASUS Vivobook 15 A1504VA I5-1335U|12GB|512GB|DOS,"Rs. 226,000.00",12GB,13,i5,SSD,512GB
ASUS Vivobook 16 X1605VA i7-13700H|8GB|512GB|16.0 WUXGA,"Rs. 289,000.00",8GB,13,i7,SSD,512GB
ASUS Vivobook 15 X1502Z I7-12700H|16GB|512GB|DOS,"Rs. 260,900.00",16GB,12,i7,SSD,512GB
Lenovo LOQ 15IRH8 I7-13620H|16GB|512GB|RTX4050|Win 11,"Rs. 435,000.00",16GB,13,i7,SSD,512GB
Lenovo LOQ 15APH8 7 7840HS|8GB|512GB|RTX4050|Win 11,"Rs. 363,000.00",8GB,7,Ryzen 7,SSD,512GB
MSI Sword 15 A12UCX I5-12450H|8GB|512GB|RTX 2050,"Rs. 307,000.00",8GB,12,i5,SSD,512GB
MSI Sword 17 A12UCX I5-12450H|8GB|512GB|RTX 2050|17.3,"Rs. 318,000.00",8GB,12,i5,SSD,512GB
MSI Cyborg 15 A12UCX I5-12450H|16GB|512GB|RTX 2050,"Rs. 334,000.00",16GB,12,i5,SSD,512GB
Aspire A515-58P i3-1305U|8GB|512GB|WIN 11,"Rs. 168,900.00",8GB,13,i3,SSD,512GB
ASUS Vivobook Go 15 E1504FA R5-7520U|8GB|512GB NVMe|Win 11,"Rs. 199,900.00",8GB,7,Ryzen 5,SSD,512GB
Dell Inspiron 5620 I7-1255U|16GB|512GB|16,"Rs. 318,900.00",16GB,12,i7,SSD,512GB
ASUS VIVOBOOK PRO 15 OLED 7 5800H|16GB|512GB|RTX3050,"Rs. 589,000.00",16GB,5,Ryzen 7,SSD,512GB
DELL INSPIRON 3511 I3-1115G4|12GB|256GB|WIN 10,"Rs. 148,500.00",12GB,11,i3,SSD,256GB
Lenovo IdeaPad Slim 3 R5 7520U|16GB|512GB|Win 11,"Rs. 209,000.00",16GB,7,Ryzen 5,SSD,512GB
Lenovo IdeaPad 3 15ITL6 I7-1165G7 |8GB|512GB|Iris® Xe|15.6,"Rs. 199,000.00",8GB,11,i7,SSD,512GB
HP 15s-fq5486TU Core i3-1215U|4GB|256GB|Win 11,"Rs. 160,000.00",4GB,12,i3,SSD,256GB
ASUS VIVOBOOK 15 X1502ZA i7-1260P|8GB|512GB|Win 11,"Rs. 329,000.00",8GB,12,i7,SSD,512GB
Lenovo IdeaPad 5 15ITL05 i5-1135G7|16GB|512GB|MX450,"Rs. 258,000.00",16GB,11,i5,SSD,512GB
Dell Vostro 3520 i5-1235U|8GB|512GB|DOS,"Rs. 269,900.00",8GB,12,i5,SSD,512GB
DELL G15 Gaming G15 RYZEN 5 6600H|8GB|512GB|RTX3050,"Rs. 438,900.00",8GB,6,Ryzen 5,SSD,512GB
Dell Inspiron 5620 i5-1235U|8GB|256GB|16,"Rs. 285,000.00",8GB,12,i5,SSD,256GB
DELL Inspiron 14-5420 i7-1255U|8GB|512GB NVME|WIN11,"Rs. 387,000.00",8GB,12,i7,SSD,512GB
DELL Inspiron 14-5420 i5-1235U|8GB|512GB NVME|WIN11,"Rs. 349,000.00",8GB,12,i5,SSD,512GB
MSI BRAVO 15 B5ED AMD RYZEN 7 5800H|16GB|512GB|RX6500M 4GB|15.6 FHD IPS 144HZ,"Rs. 340,000.00",16GB,5,Ryzen 7,SSD,512GB
ASUS VIVOBOOK 15 X1502ZA i5-1240P|8GB|512GB|WIN 11,"Rs. 299,000.00",8GB,12,i5,SSD,512GB
MSI Modern 15 - B12M i7-1255U|16GB|512GB|15.6 IPS,"Rs. 285,000.00",16GB,12,i7,SSD,512GB
Lenovo IdeaPad Flex 5 Ryzen 5 5500U|8GB|512GB|14 IPS Touch,"Rs. 325,000.00",8GB,5,Ryzen 5,SSD,512GB
DELL INSPIRON 3520 12th Gen i5-1235U|8GB|512GB|WIN 11,"Rs. 305,000.00",8GB,12,i5,SSD,512GB
Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H|16GB|256GB+1TB|GTX1650,"Rs. 305,000.00",16GB,5,Ryzen 7,SSD,256GB
ASUS EXPERTBOOK B1 B1500 I3-1115G4|4GB|256GB+1TB|DOS,"Rs. 169,800.00",4GB,11,i3,SSD,256GB
HP 15s-fq5886TU i5-1235U|8GB|512GB SSD|Iris X|WIN 11|15.6 fHD,"Rs. 298,900.00",8GB,12,i5,SSD,512GB
Acer Aspire A315|i3-1215U|4GB|1TB|WIN 11,"Rs. 149,900.00",4GB,12,i3,HDD,1TB
ASUS TUF GAMING F15 FX506LH i7-10870H|8GB|512GB|GTX1650Ti,"Rs. 465,000.00",8GB,13,i7,SSD,512GB
Asus Vivobook Pro 14X OLED i5-11300H|16GB|512GB|RTX 3050,"Rs. 565,800.00",16GB,11,i5,SSD,512GB
ASUS TUF Gaming A15 - R5-4600H|8GB|512 NVMe|GTX1650|15.6 144HZ,"Rs. 320,000.00",8GB,4,Ryzen 5,SSD,512GB
Lenovo IdeaPad 3 15ITL6 i7-1165G7 |16GB|512GB|Iris® Xe|15.6,"Rs. 239,000.00",16GB,11,i7,SSD,512GB
ASUS ExpertBook L1500 Ryzen 3 3250U|4GB|256GB|AMD Radeon Graphics,"Rs. 169,000.00",4GB,3,Ryzen 3,SSD,256GB
DELL VOSTRO 3530 i7- 1355U|8GB|512GB|MX550,"Rs. 315,000.00",8GB,13,i7,SSD,512GB
Asus ExpertBook B1 B1502CBA i7-1255U|8GB|512GB|DOS,"Rs. 255,000.00",16GB,12,i7,SSD,512GB
ASUS Vivobook 15 X1504VA i3-1315U|8GB|256GB|Win 11,"Rs. 165,000.00",8GB,13,i3,SSD,512GB
DELL INSPIRON 3530 13th Gen i3-1305U|8GB|512GB|WIN 11,"Rs. 167,000.00",8GB,13,i3,SSD,512GB
Lenovo IdeaPad 1 15AMN7 Ryzen™ 3 7320U|8GB|512GB|WIN 11,"Rs. 144,900.00",8GB,7,Ryzen 3,SSD,512GB
MSI Thin GF63 12UCX i5-12450H|16GB|512GB|RTX2050|144hz,"Rs. 299,000.00",16GB,12,i5,SSD,512GB
Dell Vostro 3420 i5- 1135G7|8GB|256GB NVMe|Ubuntu,"Rs. 168,000.00",8GB,11,i5,SSD,256GB
MSI Modern 15 - B13M i7-1355U|16GB|512GB|Win 11,"Rs. 299,000.00",16GB,13,i7,SSD,512GB
ASUS Expertbook B1502CBA i3-1215U|8GB|512GB|Win 11,"Rs. 169,000.00",8GB,12,i3,SSD,512GB
DELL INSPIRON 3530 13th Gen i5-1335U|8GB|512GB|WIN 11,"Rs. 242,000.00",8GB,13,i5,SSD,512GB
ASUS TUF GAMING F17 FX706HC I5-11400H|8GB|512GB|RTX3050,"Rs. 398,000.00",8GB,11,i5,SSD,512GB
MSI Sword 15 A12UDX i5-12450H|16GB|512GB|RTX 3050 6GB,"Rs. 395,000.00",16GB,12,i5,SSD,512GB
DELL INSPIRON 3530 13th Gen i7-1355U|8GB|512GB|WIN 11,"Rs. 286,000.00",8GB,13,i7,SSD,512GB
HP Laptop 15-dw4001ne i5-1235U|8GB|512GB|MX550|DOS,"Rs. 209,000.00",8GB,12,i5,SSD,512GB
MSI Modern 15 - B13M i5-1335U|16GB|512GB|Win 11,"Rs. 249,900.00",16GB,13,i5,SSD,512GB
ROG STRIX G15 R7-6800H|16GB|512GB NVMe|RTX 3050,"Rs. 399,000.00",16GB,6,Ryzen 7,SSD,512GB
ASUS TUF Gaming F15 FX506HF I5-11400H|16GB|512GB|RTX 2050,"Rs. 278,500.00",16GB,11,i5,SSD,512GB
HP Laptop 15-fd0336nia i3-1315U|4GB|256GB|DOS,"Rs. 148,000.00",4GB,13,i3,SSD,256GB
MacBook Pro 13 M2 2022 8-CORE CPU 10-CORE GPU|8GB|256GB|13.3-INCH RETINA,"Rs. 415,000.00",8GB,2,Apple,SSD,256GB
MACBOOK Air 13.6 M2 2022 8-CORE CPU 8-CORE GPU|8GB|256GB|13.3-INCH RETINA,"Rs. 365,000.00",8GB,2,Apple,SSD,256GB
MACBOOK Air M2 '15.3' 8GB|256GB|15.3-Inch IPS,"Rs. 399,900.00",8GB,2,Apple,SSD,256GB
ASUS ROG Flow X16 GV601 R7-6800HS|16GB|1TB|RTX3060,"Rs. 468,000.00",16GB,6,Ryzen 7,SSD,1TB
ROG STRIX G15 R7-6800H|16GB|1TB NVMe|RTX 3060,"Rs. 405,000.00",16GB,6,Ryzen 7,SSD,1TB
ASUS Vivobook 16 X1605ZA i5-1235U|16GB|512GB|dOS,"Rs. 218,500.00",16GB,12,i5,SSD,512GB
ASUS ROG Zephyrus M16 i9-12900H|16GB|512GB NVMe|RTX 3060|16-inch QHD+,"Rs. 499,900.00",16GB,12,i9,SSD,512GB
MACBOOK PRO 13 M2 2022 8-CORE CPU 10-CORE GPU|8GB|512GB|13.3-INCH RETINA,"Rs. 489,000.00",8GB,2,Apple,SSD,512GB
DELL INSPIRON 3520 12th Gen I5-1235U|8GB|512GB|MX550|WIN 11,"Rs. 359,500.00",8GB,12,i5,SSD,512GB
ASUS ProArt Studiobook 16 OLED i7-12700H|32GB|1TB SSD|16” 4K OLED|RTX 3060,"Rs. 865,000.00",32GB,12,i7,SSD,1TB
Asus Vivobook Pro 14X OLED i7-11370H|16GB|512GB|RTX 3050,"Rs. 679,900.00",16GB,11,i7,SSD,512GB
