Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
HP 14-EP0162TU i5|13GN|8GB|512SSD|14''FHD|W11|MSO(2y) bat & adp 1y,"Rs. 247,200.00",8GB,13,i5,SSD,512GB
ACER ASPIRE A15-51P-56XV 14GN|16GB|512SSD|15.6''FHD|W11(2y/bat 1y),"Rs. 228,000.00",16GB,14,i5,SSD,512GB
LENOVO IP SLIM3 15IRU8 i3|13GN|8GB|256SSD|W11(2y),"Rs. 157,000.00",8GB,13,i3,SSD,256GB
HP 15S-FQ5886TU CORE i5|12GN|512GB|8GB|W11(2y),"Rs. 231,750.00",8GB,12,i5,SSD,512GB
ACER A315-59G-53L0 CORE i5 12GN|8GB|1TB+128SSD|MX550 2GV|W11(2y),"Rs. 333,800.00",8GB,12,i5,HDD ,1 TB
"LENOVO YOGA SLIM7 14ACN6 RYZEN7 5800U|16GB|512GB PCIE|MX450|14"" OLED|WIN11 (3y)","Rs. 671,650.00",16GB,5,Ryzen 7 ,SSD,512GB
HP 250 G8 CORE i5 11GN|8GB|1TB|W10(3y),"Rs. 260,100.00",8GB,11,i5,HDD,1 TB
DELL VOSTRO 3520 CORE i5 8GB|512SSD|DOS(3y),"Rs. 262,150.00",8GB,12,i5,SSD,512GB
LENOVO SLIM5 14ALC05 RYZEN 5 5500U|16GB|512SSD|14''|W11|grey(3y),"Rs. 314,200.00",16GB,5,Ryzen 5 ,SSD,512GB
LENOVO SLIM 3 15ALC6 RYZEN7 5700U|8GB|512SSD|W11|grey(3y),"Rs. 280,500.00",8GB,5,Ryzen 5 ,SSD,512GB
ACER A315-59G-55Z2 CORE i5 12GN|8GB|1TB|MX550 2GB|W11|silver(2y),"Rs. 216,300.00",8GB,12,i5,HDD,1 TB
HP 15-FD0204TU i5|13GN|8GB|512SSD|15.6''FHD|W11|MSO(2y)bat & adp 1y,"Rs. 209,500.00",8GB,13,i5,SSD,512GB
HP 15-FD0206TU i5|13GN|8GB|512SSD|15.6''FHD|W11|MSO(2y)bat & adp 1y,"Rs. 247,200.00",8GB,13,i5,SSD,512GB
